ID,Supplier name,Document Date,Document Type,Total with Tax,Currency of Document,Paid,Entry Code
1079955,"ביפר תקשורת בע""מ",27/08/2018,INVOICE,1468,ILS,Unknown,"חס - מע""מ מלא"
1079956,"בזק בינלאומי בע""מ",31/08/2018,INVOICE,281.34,ILS,Unknown,"חס - מע""מ מלא"
1079968,"ארגוקום בע""מ",15/08/2018,INVOICE,5667,ILS,Unknown,"חס - מע""מ מלא - תשומות ציוד"
1079969,"ארגוקום בע""מ",16/08/2018,INVOICE,1512,ILS,Unknown,"חס - מע""מ מלא - תשומות ציוד"
1079970,אורן כרפיס,19/08/2018,INVOICE,305,ILS,Unknown,"חס - מע""מ מלא"
1079971,"אינטרספייס בע""מ",01/08/2018,INVOICE,228.15,ILS,Unknown,
1079972,"אינטרספייס בע""מ",01/08/2018,INVOICE,963.49,ILS,Unknown,"חס - מע""מ מלא"
1079973,"אמיר תזרים מזומנים בע""מ",11/08/2018,INVOICE,187.2,ILS,,"חס - מע""מ מלא"
1079974,"ארגוקום בע""מ",21/08/2018,INVOICE,4499,ILS,Unknown,"חס - מע""מ מלא - תשומות ציוד"
1079975,"בזק החברה הישראלית לתקשורת בע""מ",26/08/2018,INVOICE,775.03,ILS,Paid,"חס - מע""מ מלא"
1079986,Xero (NZ) Ltd,09/08/2018,INVOICE,40,USD,,"מע""מ 0%"
1079987,WebEx Communications BV,21/05/2018,INVOICE,22.32,USD,Unknown,"מע""מ 0%"
1079988,WebEx Communications BV,21/07/2018,INVOICE,22.25,USD,Unknown,"מע""מ 0%"
1079989,WebEx Communications BV,21/06/2018,INVOICE,21.87,USD,Unknown,"מע""מ 0%"
1079990,Voxbone SA ,01/08/2018,INVOICE,6448.75,USD,,"מע""מ 0%"
1079991,WebEx Communications BV,21/08/2018,INVOICE,21.87,USD,Unknown,"מע""מ 0%"
1079992,Voxbone SA ,06/08/2018,RECEIPT,15000,USD,Paid,"מע""מ 0%"
